Evaluations;Max fitness;Diversity;Mutation rate
9000;9.9999917682146;2.6076102015374755E-7;6.525301721998694E-8
9100;9.999991768254725;7.169109907645132E-15;3.060069816943581E-7
9200;9.999991768285835;1.7900599314928004E-7;9.149845191092786E-8
9300;9.999991768312853;2.616725885102937E-7;1.3276991430892384E-8
9400;9.999991768324502;2.2400338089518982E-8;4.1400402794972646E-9
9500;9.999991768354658;4.4354087890704764E-7;1.853350297279313E-8
9600;9.999991768379816;4.487017047621287E-8;2.08771246505375E-9
9700;9.999991768413741;6.317489553380241E-7;3.965041677157324E-9
9800;9.999991768427895;7.220645727563709E-8;8.300072966099663E-8
9900;9.999991768456518;1.295157668554272E-8;2.6686371303662973E-9
10000;9.999991768473052;1.378965210508099E-7;1.1630688174400504E-7
