Evaluations;Max fitness;Diversity;Mutation rate
37000;0.2619858230475012;1.257156948569106E-6;8.866083699571613E-7
38000;0.26198596566305254;8.072969831989392E-6;2.3908505918319954E-6
39000;0.2619861084909652;1.5387826248015886E-7;1.3765459123980143E-7
40000;0.26198616839495725;8.568511700653739E-8;4.6842123396946323E-7
41000;0.26198622322456877;1.1760253345626094E-7;6.995609745528781E-6
42000;0.2619862906369414;1.9516136970282156E-6;1.5332612139285658E-6
43000;0.26198631356854635;6.351175146443876E-9;6.5481746194079075E-9
44000;0.26198633590880566;3.4292571377506127E-7;2.0591938997182754E-7
45000;0.26198634973333934;1.5940847564358415E-6;1.3151608119339815E-6
46000;0.26198636082123455;8.826370465022401E-9;2.2724658538885905E-8
47000;0.26198636645016943;2.828318121277104E-7;7.208323818005782E-8
48000;0.26198637195867613;2.74066374338452E-8;1.0990819585540711E-6
49000;0.26198637536440855;1.3958140607588014E-6;1.074241033510423E-6
50000;0.2619863784029828;3.466063823842532E-7;3.0211836240764657E-7
51000;0.26198637983998657;2.434122608275343E-7;2.350949973341292E-10
52000;0.26198638155408027;2.1023557244350165E-7;2.0948929277096542E-7
53000;0.2619863824011353;1.6355327256594841E-7;5.511507586891331E-11
54000;0.2619863829185217;3.6600304086674344E-7;1.0769059184513319E-7
55000;0.26198638342197816;2.772373555375323E-7;1.8279617198156873E-7
56000;0.2619863838604417;1.24259781247196E-7;9.324036620312186E-9
57000;0.2619863841249477;1.3367116790905315E-7;3.522023855986083E-9
58000;0.26198638434097304;4.576375688620459E-8;2.133961337093934E-8
59000;0.2619863845550944;6.363926452220446E-8;1.4150251442473014E-7
60000;0.26198638466279933;9.854171067647432E-8;3.771455105953969E-8
61000;0.26198638473638264;8.25871764583063E-9;2.5332450261323894E-9
62000;0.26198638479542324;7.889488345790483E-10;7.074469012617108E-9
63000;0.26198638484203585;2.059979390048798E-8;1.3276525652354886E-8
64000;0.26198638487768683;4.770147602295962E-8;4.7109426056458715E-8
65000;0.26198638490613546;3.954465043900752E-8;3.401052101745758E-8
66000;0.26198638492755116;2.1815234182821423E-8;1.8311256969819363E-8
67000;0.2619863849411683;8.623280047546217E-10;5.802960379736609E-10
68000;0.26198638494899473;3.9509411871840135E-8;1.2595790123415655E-8
69000;0.2619863849553181;3.4747999003068666E-8;1.6269438121317979E-9
