island_count;epoch_size;fitness_sharing;sigma;population_size;parent_count;arity;recombination_p;k;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;false;0;30;24;4;0.5;24;KatsuuraEvaluation;30201;4.865236776360341e-05;0.0001459570535899374;30.0;0.0
1;0;false;0;30;24;6;0.5;2;SchaffersEvaluation;23367;7.64714594574485e-06;2.194313840850874e-05;30.0;0.0
1;0;false;0;30;24;6;0.5;2;KatsuuraEvaluation;11852;1.4618258083374125e-08;4.257496220592223e-08;30.0;0.0
1;0;false;0;30;24;6;0.5;3;SchaffersEvaluation;2213;9.508843764363843e-07;1.940049609900926e-06;30.0;0.0
1;0;false;0;30;24;6;0.5;3;KatsuuraEvaluation;8252;2.2934521158150584e-07;4.650698208000612e-07;30.0;0.0
1;0;false;0;30;24;6;0.5;4;SchaffersEvaluation;28628;8.529882241705951e-07;1.4659543649463733e-06;30.0;0.0
1;0;false;0;30;24;6;0.5;4;KatsuuraEvaluation;24806;3.121749889757384e-08;8.81747316380715e-08;30.0;0.0
1;0;false;0;30;24;6;0.5;6;SchaffersEvaluation;2444;1.2153004783013763e-06;3.4059057690410014e-06;30.0;0.0
1;0;false;0;30;24;6;0.5;6;KatsuuraEvaluation;15139;9.467267052750039e-06;2.840083665470318e-05;30.0;0.0
1;0;false;0;30;24;6;0.5;12;SchaffersEvaluation;31875;1.5887823431721374e-05;3.7774975605034525e-05;30.0;0.0
1;0;false;0;30;24;6;0.5;12;KatsuuraEvaluation;31644;1.2973148714845594e-09;3.074537643801987e-09;30.0;0.0
1;0;false;0;30;24;6;0.5;24;SchaffersEvaluation;2788;6.407906164291725e-06;1.1640558843121298e-05;30.0;0.0
1;0;false;0;30;24;6;0.5;24;KatsuuraEvaluation;28708;2.2092555492319564e-10;4.958697719384757e-10;30.0;0.0
1;0;false;0;30;24;12;0.5;2;SchaffersEvaluation;4999;6.123846324670965e-05;0.0001237006048483716;30.0;0.0
1;0;false;0;30;24;12;0.5;2;KatsuuraEvaluation;4372;8.931950602095818e-08;2.6708849650644146e-07;30.0;0.0
1;0;false;0;30;24;12;0.5;3;SchaffersEvaluation;19664;1.3991937924489252e-07;2.4754577999075983e-07;30.0;0.0
1;0;false;0;30;24;12;0.5;3;KatsuuraEvaluation;6685;5.346920605312101e-07;1.5636870629983772e-06;30.0;0.0
1;0;false;0;30;24;12;0.5;4;SchaffersEvaluation;16991;3.7485642211340596e-07;5.281746370229838e-07;30.0;0.0
1;0;false;0;30;24;12;0.5;4;KatsuuraEvaluation;5200;1.6246512822086553e-08;4.7911870378946286e-08;30.0;0.0
1;0;false;0;30;24;12;0.5;6;SchaffersEvaluation;7550;2.7112238656347767e-05;6.771343006771859e-05;30.0;0.0
1;0;false;0;30;24;12;0.5;6;KatsuuraEvaluation;19830;4.4256978995237176e-09;7.76892900825224e-09;30.0;0.0
1;0;false;0;30;24;12;0.5;12;SchaffersEvaluation;13692;7.498008215312614e-07;2.2083953431818788e-06;30.0;0.0
1;0;false;0;30;24;12;0.5;12;KatsuuraEvaluation;22308;5.5195893012880895e-09;1.1181789275948688e-08;30.0;0.0
1;0;false;0;30;24;12;0.5;24;SchaffersEvaluation;2950;1.0532594122649725e-06;2.1865898198684967e-06;30.0;0.0
1;0;false;0;30;24;12;0.5;24;KatsuuraEvaluation;1198;9.371999865463576e-09;1.78584749160067e-08;30.0;0.0
1;0;false;0;30;24;24;0.5;2;SchaffersEvaluation;6141;2.652823276556824e-05;7.157055364656655e-05;30.0;0.0
1;0;false;0;30;24;24;0.5;2;KatsuuraEvaluation;31493;4.897627161993619e-07;1.4672138000822998e-06;30.0;0.0
