island_count;epoch_size;fitness_sharing;sigma;migration_size;population_size;parent_count;arity;recombination_p;k;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;false;0;0;50;6;6;0.80;12;KatsuuraEvaluation;19972;0.07063163050714358;0.19056702168027337;8212.4;5551.03008819084
1;0;false;0;0;50;6;6;0.80;24;SchaffersEvaluation;26273;0.24828289456974978;0.24307505964127113;39281.6;30361.91735447549
1;0;false;0;0;50;6;6;0.80;24;KatsuuraEvaluation;19795;0.007820684125119395;0.01115634905531416;20102.0;14216.292174825332
1;0;false;0;0;50;12;2;0.80;2;SchaffersEvaluation;12426;3.163444946432274;2.166961038446155;2015.6;508.99807465254725
1;0;false;0;0;50;12;2;0.80;2;KatsuuraEvaluation;12704;0.42516164954488317;0.9564635593251939;11216.0;5277.510094732174
1;0;false;0;0;50;12;2;0.80;3;SchaffersEvaluation;10590;3.699341234042042;2.530481660772326;2506.4;1423.212647498609
1;0;false;0;0;50;12;2;0.80;3;KatsuuraEvaluation;26220;0.18912317651620866;0.4773620404476176;9668.0;4116.2807484427
1;0;false;0;0;50;12;2;0.80;6;SchaffersEvaluation;29510;3.1605241881901196;1.324139155853792;1254.8;273.91560744141617
1;0;false;0;0;50;12;2;0.80;6;KatsuuraEvaluation;30966;0.22446935059799392;0.4920648748417225;9176.0;3729.0364439088016
1;0;false;0;0;50;12;2;0.80;12;SchaffersEvaluation;13642;2.7782281857575732;3.0674826714392402;7248.8;13763.003398967829
1;0;false;0;0;50;12;2;0.80;12;KatsuuraEvaluation;3378;0.48049248868140043;0.4533951968771969;7486.4;2704.7267958150596
1;0;false;0;0;50;12;2;0.80;24;SchaffersEvaluation;28102;1.911934192184893;1.673928748806171;2146.4;1165.1505653777112
1;0;false;0;0;50;12;2;0.80;24;KatsuuraEvaluation;23411;0.32255276145358264;0.5399239581957455;6474.8;2754.5957525560807
1;0;false;0;0;50;12;3;0.80;2;SchaffersEvaluation;24315;2.9070527711217964;1.7576016463307267;2685.2;661.3774716453532
1;0;false;0;0;50;12;3;0.80;2;KatsuuraEvaluation;17323;0.11905167199645943;0.11829377324353284;12426.8;6335.132213300682
1;0;false;0;0;50;12;3;0.80;3;SchaffersEvaluation;25337;2.7128907124703625;1.121271439845236;1995.2;654.8405607474234
1;0;false;0;0;50;12;3;0.80;3;KatsuuraEvaluation;14790;0.270303088485955;0.4577740010940189;7497.2;2530.465127204878
1;0;false;0;0;50;12;3;0.80;6;SchaffersEvaluation;17639;2.9392697916531794;1.8033392336420249;1944.8;1949.2628760636674
1;0;false;0;0;50;12;3;0.80;6;KatsuuraEvaluation;12117;0.3252853617170893;0.4584217204650181;6496.4;2957.004538380014
1;0;false;0;0;50;12;3;0.80;12;SchaffersEvaluation;5736;1.738002229885573;1.4877119702452672;2795.6;1607.8370066645437
1;0;false;0;0;50;12;3;0.80;12;KatsuuraEvaluation;7797;0.043930405817279715;0.0819932858251196;11735.6;4304.274043320197
1;0;false;0;0;50;12;3;0.80;24;SchaffersEvaluation;17018;1.5414158225122168;1.4159476698324591;5076.8;5316.396689488098
1;0;false;0;0;50;12;3;0.80;24;KatsuuraEvaluation;26313;0.04753858510816035;0.06471478941332566;6306.8;2495.1009919440135
1;0;false;0;0;50;12;4;0.80;2;SchaffersEvaluation;3911;2.9234448612852453;2.2749549513742506;2855.6;901.7710574197866
1;0;false;0;0;50;12;4;0.80;2;KatsuuraEvaluation;8214;0.32125841436846064;0.48023729262707826;13295.6;11763.00059678652
1;0;false;0;0;50;12;4;0.80;3;SchaffersEvaluation;31374;3.5585698804394803;2.2492780593448227;1887.2;516.0404635297507
1;0;false;0;0;50;12;4;0.80;3;KatsuuraEvaluation;5028;0.24494981457798679;0.29872482096916975;11494.4;7689.597846441645
1;0;false;0;0;50;12;4;0.80;6;SchaffersEvaluation;8107;3.1082617961101233;1.8960319166157773;2075.6;559.7919613570741
1;0;false;0;0;50;12;4;0.80;6;KatsuuraEvaluation;7447;0.11852493674098272;0.16909031301971378;10736.0;8027.200408610713
1;0;false;0;0;50;12;4;0.80;12;SchaffersEvaluation;20766;1.3646439273549826;1.134515389000901;3005.6;3528.355288232748
1;0;false;0;0;50;12;4;0.80;12;KatsuuraEvaluation;12076;0.4028549296442261;0.5464668592139836;6887.6;4417.238304642393
1;0;false;0;0;50;12;4;0.80;24;SchaffersEvaluation;20691;2.062142914263691;1.806714960634757;3315.2;2038.6191797390704
1;0;false;0;0;50;12;4;0.80;24;KatsuuraEvaluation;18972;0.2017997401350983;0.4192095982717052;8406.8;4370.831609659654
1;0;false;0;0;50;12;6;0.80;2;SchaffersEvaluation;16567;3.0971709963549006;2.5960815547746803;2757.2;1028.0043579674164
1;0;false;0;0;50;12;6;0.80;2;KatsuuraEvaluation;10007;0.4314723451314374;0.3502292955940785;12716.0;5070.088046572761
1;0;false;0;0;50;12;6;0.80;3;SchaffersEvaluation;19911;3.9213725787096285;1.8169194272488038;2574.8;742.7253597393858
1;0;false;0;0;50;12;6;0.80;3;KatsuuraEvaluation;25154;0.22449211899211113;0.3614225799686211;11506.4;6575.938795335614
1;0;false;0;0;50;12;6;0.80;6;SchaffersEvaluation;10384;1.7336494921295853;1.8032301062008962;1868.0;855.2936337890046
1;0;false;0;0;50;12;6;0.80;6;KatsuuraEvaluation;30082;0.04275386550666738;0.054530972047591504;9706.4;4291.918899513363
1;0;false;0;0;50;12;6;0.80;12;SchaffersEvaluation;18962;0.978303750260699;0.8865842943588496;2276.0;1545.8706284809218
1;0;false;0;0;50;12;6;0.80;12;KatsuuraEvaluation;1217;0.2329453900041246;0.5101341221190071;8636.0;5982.69083272736
1;0;false;0;0;50;12;6;0.80;24;SchaffersEvaluation;16561;1.222985365839412;1.5497767990269353;7206.8;15141.817782551734
1;0;false;0;0;50;12;6;0.80;24;KatsuuraEvaluation;14106;0.04997523976305908;0.08909918740494702;5975.6;3012.720869911449
1;0;false;0;0;50;12;12;0.80;2;SchaffersEvaluation;5481;3.640622635928076;2.051322374808167;3076.4;806.1070896599285
1;0;false;0;0;50;12;12;0.80;2;KatsuuraEvaluation;5645;0.1542642654228553;0.2130284124636259;14687.6;4931.505960657454
1;0;false;0;0;50;12;12;0.80;3;SchaffersEvaluation;2271;0.9443591879749327;1.0151453846215739;4407.2;3633.2363754647176
1;0;false;0;0;50;12;12;0.80;3;KatsuuraEvaluation;59;0.1305937776273296;0.3561158129921814;8966.0;3419.861049808895
1;0;false;0;0;50;12;12;0.80;6;SchaffersEvaluation;13699;0.3719098760734765;0.28799041007848636;10474.4;23725.591479244522
1;0;false;0;0;50;12;12;0.80;6;KatsuuraEvaluation;20572;0.008484808655262344;0.015757675412456134;6317.6;4286.15424827432
1;0;false;0;0;50;12;12;0.80;12;SchaffersEvaluation;13618;0.4666283777783479;0.3757141778269642;14816.0;22540.87375413828
1;0;false;0;0;50;12;12;0.80;12;KatsuuraEvaluation;630;0.010743122319774732;0.015443582052014895;22402.4;28666.419236451562
1;0;false;0;0;50;12;12;0.80;24;SchaffersEvaluation;19964;0.6051045776178707;0.5399051830769244;17506.4;20373.163088730234
1;0;false;0;0;50;12;12;0.80;24;KatsuuraEvaluation;24130;0.04582958714080636;0.07298366222606655;30294.8;21979.892760429928
1;0;false;0;0;50;24;2;0.80;2;SchaffersEvaluation;31841;3.7350964031555;2.5795285365709177;2654.0;627.9796175036257
1;0;false;0;0;50;24;2;0.80;2;KatsuuraEvaluation;27058;0.3484494597302819;0.5441124215636047;14894.0;7434.293940920012
1;0;false;0;0;50;24;2;0.80;3;SchaffersEvaluation;30247;5.747351773207127;2.6894401078678927;2114.0;396.83548228453566
1;0;false;0;0;50;24;2;0.80;3;KatsuuraEvaluation;2849;0.3907290936417095;0.46958487823276257;12093.2;3741.026511533967
1;0;false;0;0;50;24;2;0.80;6;SchaffersEvaluation;30965;3.9703955755883262;1.8931835367502383;1713.2;343.13286056569984
1;0;false;0;0;50;24;2;0.80;6;KatsuuraEvaluation;11264;0.3540469000371498;0.4297722446691258;10043.6;5854.585402912831
1;0;false;0;0;50;24;2;0.80;12;SchaffersEvaluation;7398;2.039059914745877;1.5028632795431967;3662.0;3969.316313926115
1;0;false;0;0;50;24;2;0.80;12;KatsuuraEvaluation;15762;1.2775619137912362;1.7834825034715704;10763.6;3798.7716751602748
1;0;false;0;0;50;24;2;0.80;24;SchaffersEvaluation;32273;2.067499999422555;2.0099992537088722;3297.2;2769.0852207904327
1;0;false;0;0;50;24;2;0.80;24;KatsuuraEvaluation;3865;0.19739117369315431;0.3268710284268171;7674.8;4014.9647271177864
1;0;false;0;0;50;24;3;0.80;2;SchaffersEvaluation;32519;4.952085512436068;2.4619310085018142;3206.0;714.7206447277146
1;0;false;0;0;50;24;3;0.80;2;KatsuuraEvaluation;9745;0.3128974637754114;0.3976017773056521;12681.2;4924.961985640092
1;0;false;0;0;50;24;3;0.80;3;SchaffersEvaluation;11802;5.271781609260833;1.8581788609139993;2205.2;416.07999230917125
1;0;false;0;0;50;24;3;0.80;3;KatsuuraEvaluation;17777;0.31262165944668974;0.4769596514740635;16653.2;7038.024450085408
1;0;false;0;0;50;24;3;0.80;6;SchaffersEvaluation;18478;6.099517786569984;1.6626235809508778;1665.2;279.89598067853706
1;0;false;0;0;50;24;3;0.80;6;KatsuuraEvaluation;16828;0.6195210660262381;0.9790126890519675;11661.2;7308.642730356984
1;0;false;0;0;50;24;3;0.80;12;SchaffersEvaluation;11943;2.6794466006417994;2.298515166628895;1914.8;652.9632148903949
1;0;false;0;0;50;24;3;0.80;12;KatsuuraEvaluation;20154;0.6332247376334952;0.8559024577042638;16370.0;7826.914794476813
1;0;false;0;0;50;24;3;0.80;24;SchaffersEvaluation;4606;2.9113227196033837;2.040553163014396;1910.0;309.26493496676926
1;0;false;0;0;50;24;3;0.80;24;KatsuuraEvaluation;26811;0.7795622118877354;0.8330069900760593;10451.6;4002.1495024548994
1;0;false;0;0;50;24;4;0.80;2;SchaffersEvaluation;14770;5.395187564748744;1.2679972240847148;2730.8;344.80742451403216
1;0;false;0;0;50;24;4;0.80;2;KatsuuraEvaluation;28349;0.3550680857229646;0.3597595543118982;21681.2;10305.221325134165
1;0;false;0;0;50;24;4;0.80;3;SchaffersEvaluation;16506;4.580053772749399;2.0199377871838524;2154.8;359.207126878073
1;0;false;0;0;50;24;4;0.80;3;KatsuuraEvaluation;12176;0.2568714372478969;0.3882005034674218;12784.4;7173.785879157532
1;0;false;0;0;50;24;4;0.80;6;SchaffersEvaluation;31792;5.483121641953721;2.000873339804401;1934.0;297.6870840328818
1;0;false;0;0;50;24;4;0.80;6;KatsuuraEvaluation;25076;0.3250389012610267;0.3962926960837929;14349.2;4750.724677351867
1;0;false;0;0;50;24;4;0.80;12;SchaffersEvaluation;12202;3.44839515194343;1.045269758972299;6510.8;13844.321729864558
1;0;false;0;0;50;24;4;0.80;12;KatsuuraEvaluation;28819;0.4744183727853672;0.4921813905664252;9357.2;1870.0235720439462
1;0;false;0;0;50;24;4;0.80;24;SchaffersEvaluation;19316;2.741415698266501;2.104777324901571;8992.4;17625.02286636814
1;0;false;0;0;50;24;4;0.80;24;KatsuuraEvaluation;15369;0.09053015687923406;0.10506033918867345;12261.2;6302.281186998879
1;0;false;0;0;50;24;6;0.80;2;SchaffersEvaluation;8588;5.640229828843403;1.2879628415938669;3143.6;566.0592195168276
1;0;false;0;0;50;24;6;0.80;2;KatsuuraEvaluation;6889;0.9973533874009026;1.4156862509257906;14452.4;4227.618223066032
1;0;false;0;0;50;24;6;0.80;3;SchaffersEvaluation;7759;5.555974886370444;2.241400767592798;2670.8;429.70054689283324
1;0;false;0;0;50;24;6;0.80;3;KatsuuraEvaluation;32473;0.2631017301510166;0.39595822575477163;17121.2;11944.166348473216
1;0;false;0;0;50;24;6;0.80;6;SchaffersEvaluation;23781;3.8897675714767908;1.7474898590502579;1871.6;303.0944407276385
1;0;false;0;0;50;24;6;0.80;6;KatsuuraEvaluation;25680;0.4935467901746815;0.6779984453831805;12366.8;5754.575445677987
1;0;false;0;0;50;24;6;0.80;12;SchaffersEvaluation;26263;3.5712841365719044;2.5202694190409294;2145.2;725.0264546897582
1;0;false;0;0;50;24;6;0.80;12;KatsuuraEvaluation;17352;0.372146443862111;0.39493457270941773;13463.6;4738.531823254963
1;0;false;0;0;50;24;6;0.80;24;SchaffersEvaluation;4068;3.3591379157669747;2.5265664547087425;1982.0;599.0632687788494
1;0;false;0;0;50;24;6;0.80;24;KatsuuraEvaluation;26811;0.5166625035525966;0.656533518629292;7101.2;3556.6639650099078
1;0;false;0;0;50;24;12;0.80;2;SchaffersEvaluation;28411;5.048347689355303;2.0139455529690515;3342.8;749.5380977642164
1;0;false;0;0;50;24;12;0.80;2;KatsuuraEvaluation;6533;0.14626169962613927;0.2357829341277768;18993.2;6173.7316559759865
1;0;false;0;0;50;24;12;0.80;3;SchaffersEvaluation;4326;5.188125452780964;1.9880012397891655;3021.2;478.7744354077398
1;0;false;0;0;50;24;12;0.80;3;KatsuuraEvaluation;28212;0.28272890281017704;0.5588950872712232;13482.8;6361.087152366332
1;0;false;0;0;50;24;12;0.80;6;SchaffersEvaluation;10367;4.002426978279837;2.2984684586607673;3218.0;954.1622503536806
1;0;false;0;0;50;24;12;0.80;6;KatsuuraEvaluation;9567;0.5289305583916197;0.42833169656174386;13833.2;9268.37647918987
1;0;false;0;0;50;24;12;0.80;12;SchaffersEvaluation;12698;1.6736620103621385;1.6338541194661782;2282.0;1695.7999882061563
1;0;false;0;0;50;24;12;0.80;12;KatsuuraEvaluation;8744;0.5628136687253263;0.7419767017182785;14901.2;8405.688131259689
1;0;false;0;0;50;24;12;0.80;24;SchaffersEvaluation;10669;0.9801846693716068;1.0975738537320006;7362.8;17984.48307180387
1;0;false;0;0;50;24;12;0.80;24;KatsuuraEvaluation;12906;0.206094954565072;0.1859892862801339;12419.6;7305.406042103341
1;0;false;0;0;50;24;24;0.80;2;SchaffersEvaluation;7905;4.790702915899029;2.051417193572727;3362.0;644.4346359406825
1;0;false;0;0;50;24;24;0.80;2;KatsuuraEvaluation;29541;0.4039109607881075;0.7999075413981349;17802.8;9657.881805033649
1;0;false;0;0;50;24;24;0.80;3;SchaffersEvaluation;20463;2.377006303667106;2.242238663829971;3741.2;2335.4799421104008
1;0;false;0;0;50;24;24;0.80;3;KatsuuraEvaluation;23645;0.1843966114668542;0.3991252119915785;14771.6;5645.963145469514
1;0;false;0;0;50;24;24;0.80;6;SchaffersEvaluation;92;0.4977944816644763;0.943385015297584;19334.0;31186.79766824417
1;0;false;0;0;50;24;24;0.80;6;KatsuuraEvaluation;15416;0.06506349084837187;0.07915311920438665;11063.6;8134.580053082028
1;0;false;0;0;50;24;24;0.80;12;SchaffersEvaluation;12094;0.3559166878197284;0.4330157344325175;12424.4;18840.009783436948
1;0;false;0;0;50;24;24;0.80;12;KatsuuraEvaluation;11292;0.03220621417376558;0.04696003046546605;38190.8;34480.723741824215
1;0;false;0;0;50;24;24;0.80;24;SchaffersEvaluation;6565;0.14254061112908425;0.1623760905572758;15983.6;29881.059161950732
1;0;false;0;0;50;24;24;0.80;24;KatsuuraEvaluation;3896;0.10069293373303241;0.15125501144617987;53812.4;29536.81560087343
1;0;false;0;0;100;2;2;0.80;2;SchaffersEvaluation;23426;0.9650811394786354;0.9977784393390996;8570.0;6858.578569937068
1;0;false;0;0;100;2;2;0.80;2;KatsuuraEvaluation;9209;0.04114554529391221;0.05743679585061906;8170.0;5286.407097452862
1;0;false;0;0;100;2;2;0.80;3;SchaffersEvaluation;1928;0.3677491721512789;0.6066510003420614;26770.0;24529.249886614958
1;0;false;0;0;100;2;2;0.80;3;KatsuuraEvaluation;1886;0.0030415533801214775;0.0033099990907908402;7830.0;3712.4250834191926
1;0;false;0;0;100;2;2;0.80;6;SchaffersEvaluation;17267;0.20422623779574667;0.20455849527929515;14540.0;14005.51320016514
1;0;false;0;0;100;2;2;0.80;6;KatsuuraEvaluation;20210;0.026189663229379413;0.07623963321496587;3960.0;1495.4597955144097
1;0;false;0;0;100;2;2;0.80;12;SchaffersEvaluation;4608;0.09579347334015287;0.10779600736146006;7260.0;8217.44485834861
1;0;false;0;0;100;2;2;0.80;12;KatsuuraEvaluation;12510;0.0008056765327143416;0.001960102904190818;3430.0;3584.9825662058665
1;0;false;0;0;100;2;2;0.80;24;SchaffersEvaluation;21675;0.1943699875781606;0.240353138872125;21080.0;27410.720530478582
1;0;false;0;0;100;2;2;0.80;24;KatsuuraEvaluation;17652;0.0020391216205215322;0.003749737538729189;3170.0;1665.5629678880352
1;0;false;0;0;100;3;3;0.80;2;SchaffersEvaluation;7244;1.0388459052422063;0.9390856229580128;12640.9;11415.94624593161
1;0;false;0;0;100;3;3;0.80;2;KatsuuraEvaluation;17980;0.04660995405070023;0.0803111847747223;7810.6;5150.54059686942
1;0;false;0;0;100;3;3;0.80;3;SchaffersEvaluation;31183;0.2688949679290651;0.27736779049291427;8240.8;9218.233928470247
1;0;false;0;0;100;3;3;0.80;3;KatsuuraEvaluation;13404;0.24213516602992832;0.6543648687417207;6851.2;3769.339538964353
1;0;false;0;0;100;3;3;0.80;6;SchaffersEvaluation;3238;0.1653475989845013;0.21627348406250677;14160.7;25402.012845638827
1;0;false;0;0;100;3;3;0.80;6;KatsuuraEvaluation;32054;0.019477774546771416;0.04583945275578324;7030.9;7455.327403273446
1;0;false;0;0;100;3;3;0.80;12;SchaffersEvaluation;28089;0.15282207865338715;0.20173465645916094;13551.1;19100.21283363094
1;0;false;0;0;100;3;3;0.80;12;KatsuuraEvaluation;3859;0.02161086104513426;0.03996752121815492;5230.9;4283.518050621475
1;0;false;0;0;100;3;3;0.80;24;SchaffersEvaluation;27869;0.39210775432989353;0.7506939367342382;15791.2;22559.46419044566
1;0;false;0;0;100;3;3;0.80;24;KatsuuraEvaluation;4330;0.0003524606066654486;0.0002845985319759913;12391.3;10640.326433432387
1;0;false;0;0;100;4;2;0.80;2;SchaffersEvaluation;5370;1.110868363611091;1.206436202767682;2780.0;2023.2646885664763
