islandN;epochSize;fitnessSharing;sigma;evaluationName;seed;MBF;stdBF;meanConv;stdConv
5;20;true;0.01;SchaffersEvaluation;15103;1.5131294326677;1.2650370027153168;3800.0;2039.607805437114
5;20;true;0.01;KatsuuraEvaluation;21600;0.5405176228956714;0.6932327191681001;38400.0;27266.096163550807
5;20;true;0.03;SchaffersEvaluation;21996;2.681257056216956;2.5079776783599583;14900.0;12856.515857727552
5;20;true;0.03;KatsuuraEvaluation;10466;0.06988415487794153;0.1356032344001093;31300.0;36674.377977001874
5;30;true;0.01;SchaffersEvaluation;16007;1.3983933776292983;2.135090339994182;5900.0;5664.803615307419
5;30;true;0.01;KatsuuraEvaluation;4042;1.2080546196779027;1.4727845259805477;50800.0;28899.134935149876
5;30;true;0.03;SchaffersEvaluation;20639;2.564354376704338;1.9694043211197598;10800.0;7440.430095095309
5;30;true;0.03;KatsuuraEvaluation;9712;0.0749990179553535;0.19254995038835648;41000.0;26966.64606509308
5;40;true;0.01;SchaffersEvaluation;20376;2.0235308587768954;1.7826429692036698;12900.0;26815.85351988633
5;40;true;0.01;KatsuuraEvaluation;12082;1.6288856739389133;1.64479717792096;49200.0;32083.64069116845
5;40;true;0.03;SchaffersEvaluation;26101;1.3119921830625099;1.5141481589060977;4800.0;2271.5633383201093
5;40;true;0.03;KatsuuraEvaluation;12081;0.07865098545929973;0.06910096915256991;39700.0;31616.609558901157
5;50;true;0.01;SchaffersEvaluation;27489;1.4923419222098349;1.8544298455931947;2700.0;1552.4174696260025
5;50;true;0.01;KatsuuraEvaluation;15399;2.014877805884451;2.233154984732523;32900.0;24089.209202462418
5;50;true;0.03;SchaffersEvaluation;14867;2.0461368443970893;2.2435937477085623;12700.0;11815.667564721005
5;50;true;0.03;KatsuuraEvaluation;12627;0.013427327993577954;0.011959224526257582;36110.0;36323.1179829045
1;0;false;0.0;SchaffersEvaluation;11737;0.5778737771170015;0.9032802596645084;2300.0;1552.4174696260025
2;10;false;0.0;SchaffersEvaluation;1110;0.6671022890255164;0.5258075966123266;1400.0;489.89794855663564
2;20;false;0.0;SchaffersEvaluation;6023;0.8764570149031398;0.7649526983752695;1400.0;916.515138991168
2;30;false;0.0;SchaffersEvaluation;32767;0.5526375073203633;0.49498088692040787;1300.0;458.257569495584
2;40;false;0.0;SchaffersEvaluation;19838;0.9413556653924415;0.7489103427316066;1800.0;871.7797887081347
2;50;false;0.0;SchaffersEvaluation;26740;1.1685005389537557;1.6465477286353114;2000.0;1183.2159566199232
4;10;false;0.0;SchaffersEvaluation;4772;0.2311921713236078;0.1681552386332869;2900.0;2547.5478405713993
4;20;false;0.0;SchaffersEvaluation;14141;1.0801009294501467;0.993282458239026;2700.0;1345.362404707371
4;30;false;0.0;SchaffersEvaluation;30091;0.8863928854615832;1.1065349842439995;2300.0;640.3124237432849
4;40;false;0.0;SchaffersEvaluation;28200;0.9988502762562724;1.173215728428266;2400.0;1019.803902718557
4;50;false;0.0;SchaffersEvaluation;25997;1.012590847160494;0.6596987005272494;4000.0;3660.6010435446256
5;10;false;0.0;SchaffersEvaluation;11187;0.7683005121990819;0.6036668778751199;5300.0;6694.027188471825
1;0;false;0.0;SchaffersEvaluation;24347;1.9437403191027645;1.846974564556005;1500.0;500.0
1;0;false;0.0;KatsuuraEvaluation;4034;0.31194282685491814;0.5896838081155625;19500.0;15363.918770938617
2;10;false;0.0;SchaffersEvaluation;21347;0.6391745088658608;0.6576117205006424;2100.0;1513.2745950421556
2;10;false;0.0;KatsuuraEvaluation;1836;0.6528022317184928;1.0546783732325895;28900.0;27497.090755205358
2;20;false;0.0;SchaffersEvaluation;22407;0.958104275398114;0.7616306153395007;2000.0;1483.2396974191327
2;20;false;0.0;KatsuuraEvaluation;28866;0.16805304623791234;0.249410961470772;43200.0;34556.62020510686
2;30;false;0.0;SchaffersEvaluation;23445;1.0760503518904505;1.1062956133075648;1800.0;979.7958971132713
2;30;false;0.0;KatsuuraEvaluation;9150;0.04027208039021795;0.060389685987061355;36200.0;32673.53669255901
2;40;false;0.0;SchaffersEvaluation;4834;0.8782220742598499;0.7065928301860112;2400.0;2244.994432064365
2;40;false;0.0;KatsuuraEvaluation;14124;0.8568661266658404;1.011824737310924;39600.0;35699.29971301958
2;50;false;0.0;SchaffersEvaluation;5281;0.8143831657195992;0.8198452720790519;1500.0;500.0
2;50;false;0.0;KatsuuraEvaluation;25762;0.11712012717258243;0.13314846828032642;29100.0;35987.35889169973
4;10;false;0.0;SchaffersEvaluation;18604;1.3540773770407113;0.9913014157466609;1600.0;489.89794855663564
4;10;false;0.0;KatsuuraEvaluation;1630;0.12337453125561777;0.23998964079960322;35300.0;33487.460339655496
4;20;false;0.0;SchaffersEvaluation;48;0.967227351063959;0.8610259859150746;4100.0;5752.390807307862
4;20;false;0.0;KatsuuraEvaluation;25789;0.37044454412808997;0.9091944799935638;34900.0;33080.054413498176
4;30;false;0.0;SchaffersEvaluation;14139;0.8699681905741283;0.8659805555529062;2600.0;1562.049935181331
4;30;false;0.0;KatsuuraEvaluation;10404;0.5480766399075742;0.8871822564323036;30200.0;32111.68011798822
4;40;false;0.0;SchaffersEvaluation;9761;1.0483246803738226;0.9377878198820396;5000.0;7668.115805072325
4;40;false;0.0;KatsuuraEvaluation;15951;0.39065181846770036;0.6729865915559372;36200.0;26693.81950939206
4;50;false;0.0;SchaffersEvaluation;5223;1.205365374680015;0.8664900052530357;4600.0;5141.9840528729765
4;50;false;0.0;KatsuuraEvaluation;29025;0.15551794266270996;0.37211001198724997;39800.0;26415.14716975849
